Treatment,Weight
T1,37.1
T1,34.51
T1,33.99
T1,31.88
T1,22.81
T1,24.34
T1,25.29
T1,18.92
T1,24.21
T1,15.08
T1,15.74
T1,18.27
T1,23.5
T1,17.32
T1,33.8
T1,13.55
T1,46.75
T1,21.74
T1,19.95
T1,23.2
T1,29.81
T1,22.47
T1,15.5
T1,16.4
T1,21.45
T1,15.23
T1,22.33
T1,16.84
T1,13.21
T1,11.38
T1,25.55
T1,21.65
T1,23.11
T1,16.78
T1,24.62
T1,17.4
T1,24.88
T1,29
T1,20.25
T1,25.53
T1,20.05
T1,17.85
T1,12.79
T1,24.8
T1,29.63
T1,11.08
T1,26.75
T1,27.52
T1,19.73
T1,13.91
T1,22.32
T1,16.65
T1,15.35
T1,11.88
T1,21.3
T1,26.63
T1,25.15
T1,21.26
T1,26.3
T1,28.5
T1,18.67
T1,28.65
T1,26.23
T1,22.18
T1,32.7
T1,24.89
T1,31.8
T1,22.66
T1,14.13
T1,23.1
T1,35.31
T1,41.33
T1,17.32
T1,11.55
T1,22.58
T1,31.45
T1,18.69
T1,18.62
T1,11.7
T1,13.88
T1,27.32
T1,20.59
T1,19.25
T1,17.22
T1,17.55
T1,13.89
T1,15.39
T1,16.1
T1,13.71
T1,22.48
T1,18.96
T1,12.37
T1,13.32
T1,12.09
T1,16.28
T1,11.68
T1,12.9
T1,12.73
T1,12.76
T1,11.35
T1,11.38
T1,11.58
T1,13.81
T1,14.06
T1,12.59
T1,11.61
T1,13.24
T1,11.3
T1,11.13
T1,12.63
T1,11.21
T1,11.43
T1,11.14
T1,11.09
T1,12.57
T1,26.85
T1,33.03
T1,30.08
T1,18.29
T1,18.36
T1,28.52
T1,28.65
T1,19.19
T1,19.47
T1,18.8
T1,17.44
T1,21.99
T1,19.12
T1,15.05
T1,23.14
T1,26.52
T1,18.85
T1,24.51
T1,15.36
T1,17.24
T1,20.3
T1,14.34
T1,33.91
T1,15
T1,28.66
T1,44.34
T1,38.15
T1,26.68
T1,16
T1,22.52
T1,24.85
T1,18.64
T1,21.14
T1,32.26
T1,31.36
T1,40.75
T1,28.8
T1,23.77
T1,20.94
T1,31.39
T1,32.16
T1,35.16
T1,29.44
T2,25.1
T2,14.96
T2,13.76
T2,33.61
T2,19.22
T2,20.33
T2,13.88
T2,18.68
T2,16.52
T2,22.95
T2,17
T2,14.89
T2,16
T2,23.2
T2,26.99
T2,16.62
T2,37.91
T2,23.46
T2,28.85
T2,22.52
T2,24.26
T2,29.9
T2,16.37
T2,13.73
T2,24.69
T2,26.64
T2,22.52
T2,19.52
T2,20.42
T2,22.9
T2,37.52
T2,26.09
T2,31.64
T2,31.2
T2,23.1
T2,19.01
T2,27.89
T2,18.51
T2,18.45
T2,22.61
T2,21.3
T2,23.28
T2,19.53
T2,24.4
T2,21.9
T2,15.08
T2,19.34
T2,21.25
T2,33.55
T2,21.7
T2,32.1
T2,24.4
T2,27.64
T2,25.59
T2,24.06
T2,24.6
T2,18.08
T2,21.55
T2,16.1
T2,38.69
T2,29.6
T2,26.45
T2,17.79
T2,18.48
T2,26.33
T2,18.6
T2,17.22
T2,25.48
T2,21.31
T2,15.63
T2,14.95
T2,16.25
T2,16.75
T2,21.45
T2,14.99
T2,15.49
T2,23.4
T2,20.49
T2,20.74
T2,18.17
T2,19.05
T2,16.8
T2,16.54
T2,16.86
T2,18.17
T2,16.67
T2,27.9
T2,14.01
T2,17.01
T2,31.99
T2,58.8
T2,25.94
T2,17
T2,25.27
T2,25.5
T2,17.6
T2,21.4
T2,12.31
T2,22.6
T2,14.3
T2,22.4
T2,23.1
T2,22.6
T2,20.4
T2,15.4
T2,20.9
T2,16.1
T2,22.5
T2,19.9
T2,25
T2,15.8
T2,23
T2,20.6
T2,19.9
T2,20.5
T2,31.6
T2,15.6
T2,27.7
T2,27.9
T2,32.4
T2,32.5
T2,18.6
T2,20.5
T2,25.7
T2,30.1
T2,38.7
T2,16.2
T2,29.3
T2,29.9
T2,39.8
T2,25.7
T2,26.3
T2,18.2
T2,12.1
T2,21.6
T2,16.5
T2,20.5
T2,22.5
T2,16.3
T2,11.8
T2,20.8
T2,17.1
T2,19.3
T2,27.9
T2,17.8
T2,17.5
T2,11.7
T2,25.7
T2,13.5
T2,19.2
T2,19.1
T2,22.3
T2,17.8
T2,13.8
T2,30.8
T2,24.5
T2,16.8
T2,14.5
T2,21.8
T3,14.1
T3,21.4
T3,19.7
T3,26.8
T3,13.6
T3,15.6
T3,18.6
T3,22.2
T3,31.5
T3,28.5
T3,25.9
T3,19.6
T3,18.7
T3,20.9
T3,23.5
T3,15.9
T3,24.1
T3,14.5
T3,24.3
T3,21.5
T3,16.5
T3,20.7
T3,25.3
T3,14
T3,23.4
T3,18.1
T3,26.2
T3,20.1
T3,22.7
T3,18.8
T3,20.9
T3,16.2
T3,15.6
T3,16.9
T3,22.4
T3,20.7
T3,24.1
T3,15.6
T3,23.9
T3,20.3
T3,21.7
T3,12.6
T3,12.9
T3,21.9
T3,18.7
T3,26.8
T3,20.3
T3,26.3
T3,18.7
T3,20.9
T3,19.7
T3,17.1
T3,21.9
T3,19.2
T3,19.7
T3,21
T3,18.2
T3,20.2
T3,20.6
T3,18.6
T3,16.8
T3,18.2
T3,19.1
T3,13.6
T3,24.2
T3,17.6
T3,18.4
T3,11.1
T3,30.5
T3,24.8
T3,21.1
T3,17.7
T3,16.8
T3,15.2
T3,27.7
T3,20.9
T3,24.4
T3,23.7
T3,20.4
T3,29.6
T3,28.3
T3,18.8
T3,17.3
T3,22.8
T3,13.2
T3,15.6
T3,16.2
T3,19.9
T3,19.8
T3,16.1
T3,15.6
T3,19.5
T3,18.5
T3,18.5
T3,14.1
T3,26.1
T3,20.6
T3,23.3
T3,15.9
T3,23.4
T3,17
T3,19.4
T3,28
T3,15.7
T3,23.8
T3,18
T3,24.9
T3,15.9
T3,12.2
T3,25.1
T3,22.5
T3,28.1
T3,19.6
T3,15
T3,17.3
T3,13.9
T3,21.8
T3,16.1
T3,21.5
T3,22
T3,17.2
T3,25.5
T3,28.5
T3,25.7
T3,25.8
T3,20.3
T3,25
T3,19.9
T3,18.1
T3,17.3
T3,23.6
T3,16.8
T3,24.9
T3,24.2
T3,15.5
T3,28.4
T3,16.3
T3,24.4
T3,23.7
T3,24.8
T3,20.4
T3,15.1
T3,20
T3,20.4
T3,19.3
T3,19.3
T3,15.8
T3,19.5
T3,13.3
T3,26
T3,14.3
T3,18.3
T3,22.6
T3,18.1
T3,19.1
T3,15.5
T3,23.4
T3,22.1
T3,21.6
T4,18.1
T4,17.6
T4,15.4
T4,22.9
T4,13.4
T4,21.4
T4,16.8
T4,20.9
T4,22.6
T4,20.7
T4,15.9
T4,17.5
T4,18.1
T4,15.3
T4,26.3
T4,14.3
T4,21
T4,16.1
T4,17.9
T4,14.2
T4,15.4
T4,19.1
T4,13.6
T4,12.9
T4,18.9
T4,20.8
T4,22.8
T4,24.5
T4,18.5
T4,14.9
T4,14.2
T4,19
T4,18.3
T4,13.7
T4,17.6
T4,19.8
T4,17.8
T4,17.3
T4,16.6
T4,15.5
T4,24.2
T4,14.1
T4,20.3
T4,16
T4,12.4
T4,18.7
T4,23.7
T4,15.9
T4,14
T4,18
T4,16.2
T4,18.3
T4,22.4
T4,11.7
T4,13.4
T4,12.6
T4,13.6
T4,14.6
T4,13.5
T4,14
T4,16.8
T4,13.5
T4,13.3
T4,13.4
T4,17.5
T4,15
T4,14.3
T4,17.5
T4,15.4
T4,13.9
T4,14.9
T4,17
T4,12
T4,14.5
T4,12.6
T4,16.7
T4,23.3
T4,27.5
T4,14.6
T4,19.5
T4,15.9
T4,16.7
T4,18.5
T4,18.4
T4,14
T4,19
T4,13
T4,15.4
T4,15.8
T4,15.4
T4,16.7
T4,16.6
T4,16.7
T4,19.3
T4,16.6
T4,18.8
T4,16.7
T4,15.2
T4,11.7
T4,14.9
T4,18
T4,17
T4,13.2
T4,11.5
T4,21.8
T4,17.6
T4,19.8
T4,24.7
T4,14.8
T4,14.9
T4,12.7
T4,12.8
T4,14.9
T4,13.4
T4,12.9
T4,11.5
T4,12.9
T4,20.2
T4,17.8
T4,19.4
T4,14.2
T4,17.1
T4,11.9
T4,16
T4,17.7
T4,16.7
T4,12.4
T4,12.2
T4,19.9
T4,16.8
T4,17.9
T4,12.9
T4,19.8
T4,17.4
T4,14.9
T4,20.9
T4,15.3
T4,15.7
T4,20.5
T4,22.4
T4,22.8
T4,28
T4,12.9
T4,20.2
T4,16.8
T4,18.5
T4,16.4
T4,29
T4,18.8
T4,18.2
T4,20
T4,17.7
T4,17.4
T4,15.8
T4,13.9
T4,14.4
T4,14
T4,13.3
T4,15
